timestamp,request_id,latency_ms,status,status_code,sla_violation,fraud_score,response_latency_ms
2025-12-10T21:46:30.709607,1,405.4650817419624,success,200,0,0.486,400.7471098379837
2025-12-10T21:46:30.759607,2,543.6089002572284,success,200,1,0.929,532.5660620548917
2025-12-10T21:46:30.809607,3,617.1899878740328,success,200,1,0.109,619.4541079037253
2025-12-10T21:46:30.859607,4,371.8004904869571,success,200,0,0.519,367.06479973335917
2025-12-10T21:46:30.909607,5,387.79784011146376,success,200,0,0.368,393.0873442143702
2025-12-10T21:46:30.959607,6,436.1327970565172,success,200,0,0.99,443.3765811217938
2025-12-10T21:46:31.009607,7,410.3509464290491,success,200,0,0.862,412.8917326865006
2025-12-10T21:46:31.059607,8,417.9011388588858,success,200,0,0.439,411.1832249632469
2025-12-10T21:46:31.109607,9,384.5496387969028,success,200,0,1.0,384.8078727770204
2025-12-10T21:46:31.159607,10,520.1833446962265,success,200,1,0.514,512.7412688366957
2025-12-10T21:46:31.209607,11,553.1367479464533,success,200,1,0.167,565.2241330070708
2025-12-10T21:46:31.259607,12,328.8765689137529,success,200,0,0.556,336.86814141622966
2025-12-10T21:46:31.309607,13,445.52963950089844,success,200,0,0.226,445.31981668106545
2025-12-10T21:46:31.359607,14,491.49322570761404,success,200,0,0.636,505.45694000295845
2025-12-10T21:46:31.409607,15,636.0292062354995,success,200,1,0.937,637.4318696374052
2025-12-10T21:46:31.459607,16,193.39428073735337,success,200,0,0.786,188.25034504606182
2025-12-10T21:46:31.509607,17,455.5977034495506,success,200,0,0.273,443.461722473372
2025-12-10T21:46:31.559607,18,474.3402548560168,success,200,0,0.297,475.6526242004192
2025-12-10T21:46:31.609607,19,363.02903906309655,success,200,0,0.069,373.8415374105369
2025-12-10T21:46:31.659607,20,392.0616419667706,success,200,0,0.286,403.06320381146406
2025-12-10T21:46:31.709607,21,526.1282242398171,success,200,1,0.093,529.2652362402995
2025-12-10T21:46:31.759607,22,417.62925303331383,success,200,0,0.499,414.43240393034023
2025-12-10T21:46:31.809607,23,555.9248601917574,success,200,1,0.708,560.4337494344778
2025-12-10T21:46:31.859607,24,507.7006260954695,success,200,1,0.751,515.5648367322407
2025-12-10T21:46:31.909607,25,488.8978732079876,success,200,0,0.06,486.2466167398114
2025-12-10T21:46:31.959607,26,456.02061529517937,success,200,0,0.34,455.3082403716271
2025-12-10T21:46:32.009607,27,555.0185261656563,success,200,1,0.288,560.4370153869946
2025-12-10T21:46:32.059607,28,357.8088985249473,success,200,0,0.104,369.10847670802974
2025-12-10T21:46:32.109607,29,436.0951247520354,success,200,0,0.362,444.8254360963037
2025-12-10T21:46:32.159607,30,494.2439037751881,success,200,0,0.299,479.91564485479853
2025-12-10T21:46:32.209607,31,362.7019992461587,success,200,0,0.634,351.43316955969635
2025-12-10T21:46:32.259607,32,494.00139744979737,success,200,0,0.883,504.58474285836303
2025-12-10T21:46:32.309607,33,338.25690530859225,success,200,0,0.455,348.2715901499433
2025-12-10T21:46:32.359607,34,527.7563375390439,success,200,1,0.747,524.4205410335052
2025-12-10T21:46:32.409607,35,242.49957962869118,success,200,0,0.146,245.02791729942115
2025-12-10T21:46:32.459607,36,407.701867144215,success,200,0,0.895,419.8772166170744
2025-12-10T21:46:32.509607,37,495.2929492597401,success,200,0,0.153,507.639709689953
2025-12-10T21:46:32.559607,38,324.92945022751576,success,200,0,0.192,333.4222356003425
2025-12-10T21:46:32.609607,39,533.3881920048751,success,200,1,0.106,524.6758601556655
2025-12-10T21:46:32.659607,40,445.2497864662706,success,200,0,0.31,452.15827068688895
2025-12-10T21:46:32.709607,41,525.6195748381111,success,200,1,0.552,513.6525278085228
2025-12-10T21:46:32.759607,42,392.10386916479,success,200,0,0.988,403.92202294842707
2025-12-10T21:46:32.809607,43,382.7760669212532,success,200,0,0.793,372.2505310286146
2025-12-10T21:46:32.859607,44,373.87899532591615,success,200,0,0.38,378.74945452925965
2025-12-10T21:46:32.909607,45,491.1703539625999,success,200,0,0.576,494.4776521901704
2025-12-10T21:46:32.959607,46,572.8898840241382,success,200,1,0.623,581.1968737005257
2025-12-10T21:46:33.009607,47,383.51191937508963,success,200,0,0.823,385.0592444458433
2025-12-10T21:46:33.059607,48,387.50205365012084,success,200,0,0.736,374.2890509113928
2025-12-10T21:46:33.109607,49,626.6619431250389,success,200,1,0.569,632.8373307463634
2025-12-10T21:46:33.159607,50,406.92008330168903,success,200,0,0.669,403.41472006674707
2025-12-10T21:46:33.209607,51,448.17278105889886,success,200,0,0.746,442.7813310954722
2025-12-10T21:46:33.259607,52,462.857499867316,success,200,0,0.133,477.607706353328
2025-12-10T21:46:33.309607,53,406.8678732153425,success,200,0,0.2,409.57986619413435
2025-12-10T21:46:33.359607,54,474.50049852966754,success,200,0,0.689,480.82207072774986
2025-12-10T21:46:33.409607,55,578.6411029511445,success,200,1,0.85,579.4308870592139
2025-12-10T21:46:33.459607,56,492.28571136284813,success,200,0,0.409,500.3848907413977
2025-12-10T21:46:33.509607,57,580.719539648293,success,200,1,0.98,588.2817217132922
2025-12-10T21:46:33.559607,58,253.38269914483732,success,200,0,0.216,258.09708261524213
2025-12-10T21:46:33.609607,59,326.24632538265075,success,200,0,0.417,341.17861722596405
2025-12-10T21:46:33.659607,60,378.841752206587,success,200,0,0.379,377.63555822908114
2025-12-10T21:46:33.709607,61,356.32361758380347,success,200,0,0.93,362.5093880327481
2025-12-10T21:46:33.759607,62,441.8808565952567,success,200,0,0.285,450.81419547940425
2025-12-10T21:46:33.809607,63,491.16509400457255,success,200,0,0.471,487.4461352924089
2025-12-10T21:46:33.859607,64,428.5531370215951,success,200,0,0.187,427.26838784820364
2025-12-10T21:46:33.909607,65,488.5408635751789,success,200,0,0.521,502.61588156689646
2025-12-10T21:46:33.959607,66,401.95500172952285,success,200,0,0.857,387.92373224332107
2025-12-10T21:46:34.009607,67,387.9889889717598,success,200,0,0.304,383.0478585905872
2025-12-10T21:46:34.059607,68,400.6453096559603,success,200,0,0.811,400.2316985261204
2025-12-10T21:46:34.109607,69,610.4961922730904,success,200,1,0.911,595.5401420651662
2025-12-10T21:46:34.159607,70,278.8621953092238,success,200,0,0.073,290.83600833942216
2025-12-10T21:46:34.209607,71,601.4448620619844,success,200,1,0.756,595.0321940683491
2025-12-10T21:46:34.259607,72,682.9831839681369,success,200,1,0.255,675.7143289314203
